user_id,signup_date,first_fund_viewed,fund_viewed_date,fund_category,fund_name,nav,rating,expense_ratio,units_purchased,purchase_amount,purchase_date,status,holding_days,roi_percent
1001,2026-08-01,2026-08-05,2026-08-05,Large Cap,Axis Bluechip Fund,45.32,4.5,0.42,100,4532,2026-08-08,Active,47,8.5
1002,2026-08-02,2026-08-07,2026-08-07,Mid Cap,Motilal Oswal Multicap,156.78,4.2,0.65,50,7839,2026-08-12,Active,40,5.2
1003,2026-08-03,2026-08-10,2026-08-10,Small Cap,HDFC Small Cap Fund,892.45,4.1,0.80,25,22311,2026-08-18,Inactive,25,-2.1
1004,2026-08-05,2026-08-12,2026-08-12,Balanced,ICICI Prudential Balanced Fund,156.23,4.3,0.55,75,11717,2026-08-19,Active,45,6.8
1005,2026-08-06,2026-08-14,2026-08-14,Large Cap,SBI Blue Chip Fund,89.56,4.4,0.38,200,17912,2026-08-22,Active,38,9.2
1006,2026-08-08,2026-08-16,2026-08-16,Mid Cap,Kotak Emerging Equity Fund,234.67,4.0,0.70,40,9387,2026-08-25,Inactive,20,1.5
1007,2026-08-10,2026-08-18,2026-08-18,Large Cap,Aditya Birla Equity Fund,156.89,4.6,0.45,120,18827,2026-08-25,Active,43,7.9
1008,2026-08-12,2026-08-20,2026-08-20,Small Cap,DSP Small Cap Fund,567.23,3.9,0.85,30,17017,2026-08-29,Active,27,3.2
1009,2026-08-14,2026-08-22,2026-08-22,Balanced,Fidelity Balanced Fund,234.56,4.2,0.60,60,14074,2026-08-30,Inactive,18,-1.3
1010,2026-08-15,2026-08-25,2026-08-25,Large Cap,HDFC Top 100 Fund,156.78,4.5,0.40,180,28220,2026-09-01,Active,35,10.1
1011,2026-08-17,2026-08-26,2026-08-26,Mid Cap,Nippon Emerging Opportunities,345.67,4.1,0.72,50,17284,2026-09-02,Active,39,4.8
1012,2026-08-19,2026-08-28,2026-08-28,Small Cap,L&T Small Cap Fund,678.45,4.0,0.82,25,16961,2026-09-05,Inactive,22,2.1
1013,2026-08-20,2026-08-30,2026-08-30,Large Cap,Canara Robeco Bluechip Equity,234.56,4.3,0.43,100,23456,2026-09-06,Active,41,6.5
1014,2026-08-22,2026-09-02,2026-09-02,Balanced,Principal Balanced Fund,123.45,4.1,0.58,80,9876,2026-09-08,Inactive,20,0.8
1015,2026-08-23,2026-09-05,2026-09-05,Mid Cap,IDFC Discovery Fund,456.78,4.2,0.68,45,20555,2026-09-10,Active,33,5.5
1016,2026-08-25,2026-09-08,2026-09-08,Large Cap,UTI Mastershare,189.34,4.4,0.42,150,28401,2026-09-12,Active,30,8.9
1017,2026-08-26,2026-09-10,2026-09-10,Small Cap,Invesco India Growth Opportunities,567.89,3.8,0.88,20,11358,2026-09-15,Inactive,17,0.5
1018,2026-08-28,2026-09-12,2026-09-12,Mid Cap,Franklin India Equity Fund,156.23,4.3,0.65,70,10936,2026-09-18,Active,26,4.2
1019,2026-08-30,2026-09-14,2026-09-14,Balanced,Tata Balanced Fund,234.67,4.2,0.62,90,21120,2026-09-20,Active,22,3.8
1020,2026-08-31,2026-09-15,2026-09-15,Large Cap,Mahindra Manulife Large Cap Fund,345.56,4.5,0.39,110,37912,2026-09-22,Active,18,9.5
